@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
39,'2019/12/08 21:35:30:081',5,409.669159,363.654724,46.742558,413.710754,425.122864,54.923622,505.048279,373.27655,35.74794,522.466492,363.32605,36.396767,535.225464,358.235748,39.209061,1,?,88.2
40,'2019/12/08 21:35:30:132',5,410.182129,362.75708,46.667038,413.812653,423.977905,54.879639,505.085022,372.872742,35.601776,522.687805,362.939606,36.226437,535.770142,357.907898,39.023369,1,?,88.2
41,'2019/12/08 21:35:30:181',5,410.26416,362.597504,46.672844,413.788239,423.778564,54.851887,505.14801,372.787964,35.582695,522.812866,362.849792,36.204666,536.009399,357.840973,38.995308,1,?,88.2
42,'2019/12/08 21:35:30:231',5,410.282074,362.628662,46.737377,413.962616,423.810181,54.883198,504.982788,372.847198,35.616005,522.673828,362.895386,36.231129,536,357.878113,39.011692,1,?,88.2
43,'2019/12/08 21:35:30:282',5,410.140167,362.943665,46.850876,414.3703,423.961761,55.016098,504.20929,373.116302,35.664047,521.884705,363.135925,36.257931,535.392334,358.033569,39.018257,1,?,88.2
44,'2019/12/08 21:35:30:331',5,409.197632,363.8125,46.920002,414.143097,424.735321,55.067921,503.084412,373.498566,35.717052,520.610229,363.477478,36.312233,534.145874,358.312439,39.068985,1,?,88.2
45,'2019/12/08 21:35:30:381',5,408.894501,364.352203,46.896896,414.083527,425.349609,55.006428,502.974976,373.718628,35.709366,520.372009,363.66571,36.316673,533.905457,358.505737,39.080017,1,?,88.2
46,'2019/12/08 21:35:30:431',5,408.907074,364.646729,46.889565,414.088409,425.722046,54.964218,503.1604,373.765472,35.704319,520.468506,363.691956,36.323708,533.988892,358.559784,39.093956,1,?,88.2
47,'2019/12/08 21:35:30:481',5,408.771973,365.368469,46.864059,414.062683,426.63205,54.868366,503.883911,373.893097,35.734024,520.991577,363.787384,36.385998,534.269897,358.663757,39.179489,1,?,88.2
48,'2019/12/08 21:35:30:531',5,409.057709,365.180298,46.878441,414.048248,426.765167,54.873737,504.177551,373.894531,35.732639,521.233276,363.794281,36.391731,534.489807,358.697144,39.192364,1,?,88.2
49,'2019/12/08 21:35:45:217',6,484.458832,376.251709,45.101135,534.973999,418.70755,51.698471,450.400024,398.305176,39.641258,457.20575,387.624115,37.017223,479.835571,377.145477,37.072853,0,?,3.6
50,'2019/12/08 21:35:45:266',6,485.204651,376.806885,45.039547,536.895447,419.028503,51.83123,448.826202,398.4953,39.748692,456.134521,388.366455,37.125587,479.046906,378.035126,37.089584,0,?,3.6
51,'2019/12/08 21:35:45:316',6,484.839264,377.422058,45.088104,536.284668,419.994354,51.903076,448.44519,398.892639,39.641624,456.130463,388.728912,37.057705,479.080811,378.430237,37.067314,0,?,3.6
52,'2019/12/08 21:35:45:366',6,483.915192,377.794159,45.082108,535.152344,421.054901,51.878838,448.426758,398.449707,39.343914,456.687622,387.992004,36.874283,479.599182,377.701141,37.033947,0,?,3.6
53,'2019/12/08 21:35:45:416',6,483.281647,378.059906,45.056713,534.813599,421.381836,52.00824,448.868378,398.326508,39.159565,457.477753,387.699127,36.76173,480.276215,377.37323,37.02718,0,?,3.6
54,'2019/12/08 21:35:45:466',6,482.483063,378.024414,45.155212,534.607727,421.318787,52.234859,449.157562,398.078064,39.119637,457.970398,387.306549,36.78035,480.565704,376.906708,37.13002,0,?,3.6
55,'2019/12/08 21:35:45:516',6,481.380554,378.009033,45.163788,534.356567,421.147736,52.435425,447.129028,397.961884,39.125854,456.069153,387.290009,36.774223,478.933075,377.009338,37.094376,0,?,3.6
56,'2019/12/08 21:35:45:567',6,480.00473,378.302307,45.065197,533.573608,420.969055,52.551208,444.320007,398.367401,39.161594,453.220337,387.9151,36.750198,476.382996,377.756683,36.983112,0,?,3.6
57,'2019/12/08 21:35:56:097',7,338.602142,421.315033,45.586754,232.73407,413.618561,46.426403,242.25238,425.924774,48.003567,341.526703,439.778931,44.376431,363.736053,432.90799,48.166473,0,?,180
58,'2019/12/08 21:35:56:147',7,338.637207,421.670044,45.718773,236.706802,416.524078,46.794193,245.116135,427.831635,48.605385,344.701172,440.848602,44.650574,367.443115,433.649933,48.348785,0,?,180
59,'2019/12/08 21:35:56:197',7,336.777283,421.381104,45.8983,235.402115,415.361053,46.889236,242.798279,426.423004,48.815323,342.377411,440.343018,44.728909,364.848358,433.407562,48.483734,0,?,180
60,'2019/12/08 21:35:56:247',7,333.960083,420.06189,45.951206,228.989578,408.522949,46.552742,238.675583,421.519409,48.077366,333.104187,437.647095,44.671494,356.012268,431.328796,48.445217,0,?,180
61,'2019/12/08 21:35:56:298',7,333.609619,419.793335,45.905678,228.229874,407.666107,46.325737,237.70903,420.733795,47.888214,332.50824,437.174347,44.606632,354.943176,430.893921,48.425987,0,?,180
62,'2019/12/08 21:35:56:347',7,334.306793,420.924683,45.922298,230.619141,411.107605,46.582573,240.184219,423.642731,48.184753,336.089142,438.513855,44.642044,357.97406,432.076599,48.494762,0,?,180
63,'2019/12/08 21:35:56:397',7,334.83197,421.867584,45.87635,233.043854,414.163696,46.713024,244.424545,426.901733,48.275112,339.742188,439.891174,44.769642,361.296722,433.030609,48.602364,0,?,180
64,'2019/12/08 21:35:56:447',7,334.85733,421.610291,45.873173,235.823441,414.667877,46.604774,245.712997,426.772522,48.331894,339.777679,439.697418,44.713642,361.725494,432.944,48.521385,0,?,180
65,'2019/12/08 21:36:26:530',8,351.179901,415.641052,38.337502,200.8694,346.528992,44.494167,306.125977,404.128357,37.167801,330.693787,408.344971,40.567966,357.061035,403.132263,43.380253,90,?,180
